Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
1,44,Directed,0,,,30,Twitter for Android,None,pt,2011-04-17
1,48,Directed,1,,,29,Twitter for Android,None,pt,2011-04-17
1,117,Directed,2,,,12,Twitter for Android,None,fr,2011-04-17
1,130,Directed,3,,,11,Twitter for Android,None,pt,2011-04-17
1,142,Directed,4,,,10,Twitter for Android,None,pt,2011-04-17
1,150,Directed,5,,,10,Twitter for Android,None,pt,2011-04-17
1,151,Directed,6,,,9,Twitter for Android,None,pt,2011-04-17
1,166,Directed,7,,,8,Twitter for Android,None,pt,2011-04-17
1,169,Directed,8,,,8,Twitter for Android,None,und,2011-04-17
1,184,Directed,9,,,8,Twitter for Android,None,pt,2011-04-17
1,262,Directed,10,,,5,Twitter for Android,None,pt,2011-04-17
1,293,Directed,11,,,5,Twitter for Android,None,pt,2011-04-17
1,303,Directed,12,,,5,Twitter for Android,saojoaodecampinagrande,pt,2011-04-17
1,319,Directed,13,,,5,Twitter for Android,None,pt,2011-04-17
1,341,Directed,14,,,4,Twitter for Android,None,pt,2011-04-17
1,350,Directed,15,,,4,Twitter for Android,None,pt,2011-04-17
1,400,Directed,16,,,4,Twitter for Android,None,es,2011-04-17
1,406,Directed,17,,,4,Twitter for Android,None,pt,2011-04-17
1,422,Directed,18,,,3,Twitter for Android,None,pt,2011-04-17
1,436,Directed,19,,,3,Twitter for Android,ArraiaDoSafadão,pt,2011-04-17
1,443,Directed,20,,,3,Twitter for Android,None,pt,2011-04-17
1,488,Directed,21,,,3,Twitter for Android,None,pt,2011-04-17
1,497,Directed,22,,,3,Twitter for Android,None,en,2011-04-17
1,516,Directed,23,,,3,Twitter for Android,None,pt,2011-04-17
1,548,Directed,24,,,3,Twitter for Android,None,pt,2011-04-17
1,655,Directed,25,,,2,Twitter for Android,None,pt,2011-04-17
1,699,Directed,26,,,2,Twitter for Android,None,pt,2011-04-17
1,702,Directed,27,,,2,Twitter for Android,None,pt,2011-04-17
1,708,Directed,28,,,2,Twitter for Android,None,pt,2011-04-17
1,760,Directed,29,,,2,Twitter for Android,None,pt,2011-04-17
1,867,Directed,30,,,2,Twitter for Android,None,pt,2011-04-17
1,936,Directed,31,,,2,Twitter for Android,None,pt,2011-04-17
1,940,Directed,32,,,2,Twitter for Android,None,pt,2011-04-17
1,1022,Directed,33,,,2,Twitter for Android,POSBBB21,pt,2011-04-17
1,1038,Directed,34,,,2,Twitter for Android,None,pt,2011-04-17
1,1044,Directed,35,,,2,Twitter for Android,SãoJoãoBohemia,pt,2011-04-17
1,1079,Directed,36,,,2,Twitter for Android,None,pt,2011-04-17
1,1197,Directed,37,,,1,Twitter for Android,None,pt,2011-04-17
1,1261,Directed,38,,,1,Twitter for Android,BBB21,pt,2011-04-17
1,1330,Directed,39,,,1,Twitter for Android,None,pt,2011-04-17
1,1349,Directed,40,,,1,Twitter for Android,Elite,pt,2011-04-17
1,1451,Directed,41,,,1,Twitter for Android,None,pt,2011-04-17
1,1452,Directed,42,,,1,Twitter for Android,None,pt,2011-04-17
1,1455,Directed,43,,,1,Twitter for Android,None,und,2011-04-17
1,1570,Directed,44,,,1,Twitter for Android,None,pt,2011-04-17
1,1602,Directed,45,,,1,Twitter for Android,None,pt,2011-04-17
1,1650,Directed,46,,,1,Twitter for Android,None,pt,2011-04-17
