Id,Label,timeset,links,links_in,links_out,followers,following,statuses,app,location,ht,lang,join_date,componentnumber
0,@bielconn,,535,535,0,4,2,5,TweetDeck,Telegram  Canal e + ➡,None,pt,2015-06-02,0
1,@ovni_b,,302,0,302,3,3,5,Twitter for Android,Brazil,None,pt,2011-04-17,1
2,@rogival,,203,203,0,4,3,4,Twitter Web App,,None,es,2011-05-10,2
3,@ovni_felizw,,191,0,191,2,2,3,Twitter for Android,,HOSEOK,es,2020-09-06,3
4,@jaimemaussan1,,178,178,0,5,1,4,Tweetbot for iΟS,,None,es,2010-10-09,2
5,@alerta_ufologia,,143,143,0,2,3,1,TweetDeck,,extraterrestre,es,2013-04-24,2
6,@navedelmisterio,,133,133,0,5,3,5,Twitter Web App,Spain  Madrid,Horizonte,es,2009-06-19,2
7,@e_o_c_,,133,133,0,4,2,3,Twitter Web App,España,None,und,2011-03-25,2
8,@dr_ovni,,125,0,125,2,2,4,Twitter for Android,Nuevo Reino de León,None,es,2015-10-10,4
9,@mediavenir,,119,119,0,6,0,4,Twitter for iPhone,France,OVNI,fr,2020-01-06,2
10,@docramiro,,118,118,0,4,3,3,Twitter for iPhone,,None,es,2009-05-31,2
11,@ovni__213,,101,0,101,2,2,4,Twitter for iPhone,,None,fr,2015-02-14,5
12,@alertarojanot,,90,90,0,4,2,4,Twitter for Android,,Ovni,es,2012-01-02,2
13,@misteriodescono,,78,67,11,4,2,5,Buffer,Planeta Tierra  Curicó  Chile,None,es,2011-09-28,2
14,@cnnee,,73,73,0,7,2,5,SocialFlow,En todas partes,None,es,2009-04-21,2
15,@finanzas_times,,69,68,1,4,1,4,Twitter for iPhone,🇨🇭 𝐒𝐰𝐢𝐭𝐳𝐞𝐫𝐥𝐚𝐧𝐝,OVNI,es,2019-07-02,2
16,@tvxendra,,63,62,1,2,2,2,Twitter for iPhone,Quito,Brasil,pt,2020-06-05,2
17,@infosfrancaises,,63,63,0,4,3,4,TweetDeck,Monde entier,None,fr,2015-10-28,2
18,@ovni_trix,,54,0,54,2,2,4,Twitter for iPhone,Midgard,None,fr,2015-11-01,5
19,@la_lili_es,,52,52,0,4,4,3,Twitter for iPhone,De Aquí,None,es,2020-01-04,2
20,@campagnoltvl,,52,52,0,4,3,4,Twitter Web App,Campagnolles  France,None,fr,2016-09-10,6
21,@toni19183716,,51,49,2,3,3,3,Twitter for iPhone,,None,es,2021-06-07,2
22,@ovni_004,,51,0,51,2,2,4,Twitter for Android,,note,ja,2009-10-15,7
23,@ggunner612,,51,51,0,1,2,1,Twitter for Android,,None,es,2010-04-20,2
24,@brunocardenosa,,51,51,0,4,3,4,Twitter Web App,,rosavientos,es,2011-03-15,2
25,@ovni_r,,49,20,29,2,3,3,Twitter Web App,Barcelona  España,ovnis,es,2020-03-22,2
26,@blackdragon1802,,49,49,0,3,3,4,Twitter for Android,Marte - Soy un marciano,ANcentral,es,2010-06-03,2
27,@supvstar,,47,40,7,4,2,4,Twitter for iPhone,,DeFacto,pt,2010-12-18,8
28,@hiro1013chan,,47,46,1,3,3,4,Twitter for Android,JAPAN　TOKYO,None,es,2019-01-24,2
29,@kidcoltrane,,44,44,0,5,2,4,Twitter for Android,,None,es,2013-01-17,2
30,@reuterslatam,,43,43,0,5,2,5,SocialFlow,América Latina,OVNI,es,2010-10-12,2
31,@aquileslast,,42,42,0,3,3,4,Twitter for Android,Getxo (País Vasco),Sonic30th,es,2018-08-22,9
32,@veilleovni,,41,37,4,3,3,3,Twitter for iPhone,Dans les étoiles 💫,None,fr,2020-06-19,2
33,@wouilisam,,40,38,2,3,3,4,Twitter for iPhone,France,None,fr,2013-05-10,2
34,@juancpedreira,,40,40,0,4,2,4,Buffer,San Juan  Puerto Rico,None,es,2011-09-16,2
35,@ovni_67,,38,0,38,2,2,4,Twitter for iPhone,Annaba ya dawla,None,fr,2017-12-15,5
36,@futurizando_,,36,36,0,5,1,3,Twitter Web App,Brazil,None,pt,2020-01-25,10
37,@capella4wd,,36,0,36,2,1,5,TwitPane for Android,,None,pt,2010-02-10,2
38,@antinatural_pc,,36,36,0,2,1,2,Twitter for Android,Entre el Cielo y el Infierno,ovni,es,2021-05-25,2
39,@fercorreaastro,,33,33,0,4,2,3,Twitter Web App,,None,es,2009-09-02,2
40,@desdelmasalla,,33,32,1,3,2,4,Twitter Web App,,None,es,2011-01-17,2
41,@boleadorcharrua,,33,28,5,3,1,5,Twitter for Android,Montevideo  Uruguay,None,es,2010-09-01,2
42,@earthquakechil1,,32,32,0,4,3,4,Twitter for Android,Santiago  Chile,METEORITO,es,2018-05-08,2
43,@cancerintegral,,31,31,0,3,3,4,Twitter for Android,,None,es,2012-11-11,2
44,@juliette,,30,30,0,3,3,4,0,0,0,0,0,1
45,@hiloshilario,,30,30,0,3,2,3,Twitter Web App,,None,es,2020-12-06,2
46,@xboxygen,,29,28,1,4,2,4,Twitter Web App,France,Xbox,fr,2009-04-21,11
47,@nanojano1,,29,29,0,2,2,3,Twitter for Android,,ufotwitter,es,2021-01-28,2
48,@julhette,,29,29,0,2,2,3,0,0,0,0,0,1
49,@inafr_officiel,,29,29,0,5,3,4,Twitter Media Studio,France,Pentagone,fr,2008-04-18,2
50,@joseacaravaca,,28,28,0,3,2,3,Twitter Web App,Cádiz  Spain,None,es,2019-04-19,2
51,@3en1burro,,28,28,0,4,3,5,Twitter Web App,Marbella  España,None,es,2017-08-31,2
52,@srbjul,,27,27,0,3,3,4,Twitter for iPhone,Twitter,None,fr,2019-04-23,5
53,@rosavientos,,27,26,1,4,1,4,Twitter Web App,Madrid  Comunidad de Madrid,rosavientos,es,2009-05-04,2
54,@camino_terror,,27,27,0,2,2,2,Twitter for Android,España,USA,es,2020-05-09,2
55,@mysteryplanet,,26,26,0,3,2,4,Twitter for Android,Planeta Tierra,osnis,es,2009-05-26,2
56,@icon_elpais,,26,26,0,4,2,4,Twitter Web App,,None,es,2013-10-15,12
57,@souanjocaido,,25,25,0,4,4,5,Twitter for Android,Inferno,QuartaLegadoSDV,pt,2015-11-29,2
58,@infecta21,,25,25,0,2,2,3,Twitter for iPhone,,None,es,2020-02-02,2
59,@despejandoenigm,,25,25,0,3,2,3,Twitter Web App,Barcelona  Cataluña,None,es,2015-08-23,2
60,@manuelbeltrn14,,24,24,0,4,3,4,Twitter Web App,Latinoamérica,autoatentado,es,2017-02-11,13
61,@emma_cntf,,24,0,24,3,3,4,Twitter Web App,France,None,fr,2011-11-12,2
62,@claratahoces,,24,24,0,4,2,4,Twitter for iPhone,Madrid (Spain),OVNI,es,2011-01-28,2
63,@anibalbarca1881,,24,24,0,1,2,2,Twitter for Android,España,None,es,2019-11-13,2
64,@totalemntfinito,,23,23,0,4,2,4,Twitter for Android,FC KEKRA 🏴,None,fr,2018-07-20,14
65,@vfuentes2,,22,22,0,4,2,3,Twitter Web App,Madrid,None,es,2010-03-07,2
66,@las2orillas,,22,22,0,5,3,5,Buffer,,None,es,2013-05-22,15
67,@insubarataria,,22,18,4,3,3,4,Twitter for Android,Prosperidad  Madrid,None,es,2016-10-23,2
68,@covni,,22,21,1,3,2,2,Twitter for Android,España,None,es,2013-06-25,2
69,@codigoocultocom,,22,22,0,3,1,4,Codigo-Oculto,Tierra,JeremyCorbell,es,2015-07-24,2
70,@aubonheur_paris,,22,22,0,3,3,2,Twitter for iPhone,Paris  France,UFO記念日,ja,2021-02-01,16
71,@macescaron,,21,21,0,4,3,4,Twitter for iPhone,Paris. Bath. Lisboa,None,fr,2012-04-09,17
72,@qtf,,20,20,0,5,2,4,Twitter Web App,México,None,es,2009-03-13,2
73,@nerdydown,,20,20,0,5,2,4,0,0,0,0,0,2
74,@jvicenteprieto,,20,19,1,3,3,5,Twitter for iPhone,Galicia,None,es,2013-01-11,2
75,@exploracionovni,,20,20,0,4,2,3,Twitter Web App,Perú,ufo,es,2011-08-25,2
