Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
1,1451,Directed,0,,,1,Twitter for Android,None,es,2019-05-22
2,21,Directed,1,,,1,Twitter for Android,None,es,2012-04-18
4,27,Directed,2,,,1,Twitter for iPhone,None,es,2011-09-19
22,22,Directed,3,,,1,Twitter for iPhone,None,es,2010-10-18
43,5,Directed,4,,,1,Twitter for Android,None,es,2010-02-18
43,7,Directed,5,,,1,Twitter for Android,None,es,2010-02-18
43,9,Directed,6,,,1,Twitter for Android,None,es,2010-02-18
43,10,Directed,7,,,1,Twitter for Android,None,es,2010-02-18
43,24,Directed,8,,,1,Twitter for Android,None,es,2010-02-18
43,27,Directed,9,,,1,Twitter for Android,None,es,2010-02-18
43,29,Directed,10,,,1,Twitter for Android,None,es,2010-02-18
43,50,Directed,11,,,1,Twitter for Android,None,es,2010-02-18
43,86,Directed,12,,,1,Twitter for Android,None,es,2010-02-18
43,168,Directed,13,,,1,Twitter for Android,None,es,2010-02-18
43,451,Directed,14,,,1,Twitter for Android,None,es,2010-02-18
43,657,Directed,15,,,1,Twitter for Android,None,es,2010-02-18
43,1271,Directed,16,,,1,Twitter for Android,None,es,2010-02-18
52,52,Directed,17,,,1,Twitter for Android,None,es,2019-12-18
65,65,Directed,18,,,1,Twitter Web App,None,es,2010-09-21
65,176,Directed,19,,,1,Twitter Web App,None,und,2010-09-21
65,1717,Directed,20,,,1,Twitter Web App,None,es,2010-09-21
68,3,Directed,21,,,1,Twitter for Android,None,es,2016-01-15
68,6,Directed,22,,,1,Twitter for Android,None,es,2016-01-15
68,11,Directed,23,,,1,Twitter for Android,None,es,2016-01-15
68,19,Directed,24,,,1,Twitter for Android,None,es,2016-01-15
68,20,Directed,25,,,1,Twitter for Android,None,es,2016-01-15
68,22,Directed,26,,,1,Twitter for Android,None,es,2016-01-15
68,35,Directed,27,,,1,Twitter for Android,None,es,2016-01-15
68,47,Directed,28,,,1,Twitter for Android,None,es,2016-01-15
69,1,Directed,29,,,1,Twitter Web App,None,es,2013-05-10
69,8,Directed,30,,,1,Twitter Web App,None,es,2013-05-10
69,16,Directed,31,,,2,Twitter Web App,Lascosasclaras143,es,2013-05-10
69,28,Directed,32,,,1,Twitter Web App,None,es,2013-05-10
69,409,Directed,33,,,1,Twitter Web App,LasCosasClaras143,es,2013-05-10
69,2314,Directed,34,,,1,Twitter Web App,lascosasclaras143,es,2013-05-10
69,2677,Directed,35,,,1,Twitter Web App,HablandoConPcComponentes,en,2013-05-10
71,1,Directed,36,,,1,Twitter for Android,None,es,2020-03-23
71,10,Directed,37,,,1,Twitter for Android,None,es,2020-03-23
71,16,Directed,38,,,1,Twitter for Android,Lascosasclaras143,es,2020-03-23
71,24,Directed,39,,,1,Twitter for Android,None,es,2020-03-23
71,26,Directed,40,,,1,Twitter for Android,None,es,2020-03-23
71,56,Directed,41,,,1,Twitter for Android,None,es,2020-03-23
71,66,Directed,42,,,1,Twitter for Android,None,es,2020-03-23
71,74,Directed,43,,,1,Twitter for Android,None,es,2020-03-23
76,10,Directed,44,,,1,Twitter Web App,None,es,2015-04-11
76,25,Directed,45,,,1,Twitter Web App,None,es,2015-04-11
76,26,Directed,46,,,1,Twitter Web App,None,es,2015-04-11
76,31,Directed,47,,,1,Twitter Web App,None,es,2015-04-11
76,52,Directed,48,,,1,Twitter Web App,None,es,2015-04-11
76,66,Directed,49,,,1,Twitter Web App,None,es,2015-04-11
76,107,Directed,50,,,1,Twitter Web App,None,es,2015-04-11
81,2,Directed,51,,,1,Twitter for iPhone,None,es,2020-05-09
81,3,Directed,52,,,2,Twitter for iPhone,None,es,2020-05-09
81,6,Directed,53,,,1,Twitter for iPhone,None,es,2020-05-09
81,21,Directed,54,,,1,Twitter for iPhone,None,es,2020-05-09
81,106,Directed,55,,,1,Twitter for iPhone,None,es,2020-05-09
83,1,Directed,56,,,1,Twitter Web App,None,es,2019-12-29
83,10,Directed,57,,,1,Twitter Web App,None,es,2019-12-29
83,14,Directed,58,,,1,Twitter Web App,None,es,2019-12-29
83,16,Directed,59,,,1,Twitter Web App,Lascosasclaras143,es,2019-12-29
83,25,Directed,60,,,1,Twitter Web App,None,es,2019-12-29
83,28,Directed,61,,,1,Twitter Web App,None,es,2019-12-29
84,1,Directed,62,,,1,Twitter Web App,None,es,2012-03-27
84,5,Directed,63,,,1,Twitter Web App,None,es,2012-03-27
84,10,Directed,64,,,1,Twitter Web App,None,es,2012-03-27
84,12,Directed,65,,,1,Twitter Web App,None,es,2012-03-27
84,49,Directed,66,,,1,Twitter Web App,None,es,2012-03-27
84,66,Directed,67,,,1,Twitter Web App,None,es,2012-03-27
88,6,Directed,68,,,2,Twitter for Android,None,es,2012-08-28
88,23,Directed,69,,,1,Twitter for Android,None,es,2012-08-28
88,266,Directed,70,,,1,Twitter for Android,None,es,2012-08-28
88,1558,Directed,71,,,1,Twitter for Android,None,es,2012-08-28
88,1946,Directed,72,,,1,Twitter for Android,None,es,2012-08-28
89,89,Directed,73,,,2,Twitter for Android,None,es,2020-04-29
90,6,Directed,74,,,1,Twitter for iPad,None,es,2012-11-27
90,22,Directed,75,,,1,Twitter for iPad,None,es,2012-11-27
90,102,Directed,76,,,1,Twitter for iPad,None,ca,2012-11-27
90,118,Directed,77,,,1,Twitter for iPad,GRANDE,es,2012-11-27
90,490,Directed,78,,,1,Twitter for iPad,None,es,2012-11-27
92,1,Directed,79,,,1,Twitter for Android,None,es,2014-07-10
92,7,Directed,80,,,2,Twitter for Android,None,es,2014-07-10
92,12,Directed,81,,,1,Twitter for Android,None,es,2014-07-10
92,16,Directed,82,,,2,Twitter for Android,Lascosasclaras143,es,2014-07-10
93,87,Directed,83,,,1,Twitter for Android,None,es,2015-04-17
94,6,Directed,84,,,1,Twitter Web App,None,es,2012-01-09
98,1,Directed,85,,,1,Twitter for Android,None,es,2012-12-09
98,7,Directed,86,,,1,Twitter for Android,None,es,2012-12-09
98,13,Directed,87,,,1,Twitter for Android,None,es,2012-12-09
98,29,Directed,88,,,1,Twitter for Android,None,es,2012-12-09
98,31,Directed,89,,,1,Twitter for Android,None,es,2012-12-09
103,7,Directed,90,,,2,Twitter Web App,None,es,2021-04-27
103,42,Directed,91,,,1,Twitter Web App,None,es,2021-04-27
103,74,Directed,92,,,1,Twitter Web App,None,es,2021-04-27
103,318,Directed,93,,,1,Twitter Web App,None,es,2021-04-27
105,0,Directed,94,,,1,Twitter Web App,None,es,2016-05-01
105,3,Directed,95,,,1,Twitter Web App,None,es,2016-05-01
105,6,Directed,96,,,1,Twitter Web App,None,es,2016-05-01
105,38,Directed,97,,,1,Twitter Web App,None,es,2016-05-01
105,57,Directed,98,,,1,Twitter Web App,None,es,2016-05-01
107,66,Directed,99,,,1,Twitter for Android,None,es,2017-03-11
108,1,Directed,100,,,1,Twitter Web App,None,es,2011-11-24
108,5,Directed,101,,,1,Twitter Web App,None,es,2011-11-24
108,10,Directed,102,,,1,Twitter Web App,None,es,2011-11-24
108,16,Directed,103,,,1,Twitter Web App,Lascosasclaras143,es,2011-11-24
108,26,Directed,104,,,1,Twitter Web App,None,es,2011-11-24
110,1,Directed,105,,,1,Twitter for Android,None,es,2011-05-09
110,7,Directed,106,,,1,Twitter for Android,None,es,2011-05-09
110,28,Directed,107,,,1,Twitter for Android,None,es,2011-05-09
110,86,Directed,108,,,1,Twitter for Android,None,es,2011-05-09
111,169,Directed,109,,,1,Twitter Web App,None,es,2011-05-17
112,3,Directed,110,,,1,Twitter for Android,None,es,2012-06-30
112,11,Directed,111,,,1,Twitter for Android,None,es,2012-06-30
112,20,Directed,112,,,1,Twitter for Android,None,es,2012-06-30
112,37,Directed,113,,,1,Twitter for Android,None,es,2012-06-30
113,9,Directed,114,,,1,Twitter for Android,None,es,2015-01-04
113,24,Directed,115,,,1,Twitter for Android,None,es,2015-01-04
113,28,Directed,116,,,1,Twitter for Android,None,es,2015-01-04
113,46,Directed,117,,,1,Twitter for Android,None,es,2015-01-04
115,3,Directed,118,,,1,Twitter for Android,None,es,2011-05-03
115,20,Directed,119,,,1,Twitter for Android,None,es,2011-05-03
115,47,Directed,120,,,1,Twitter for Android,None,es,2011-05-03
115,397,Directed,121,,,1,Twitter for Android,None,es,2011-05-03
119,5,Directed,122,,,1,Twitter Web App,None,es,2012-06-10
119,29,Directed,123,,,1,Twitter Web App,None,es,2012-06-10
119,111,Directed,124,,,1,Twitter Web App,None,es,2012-06-10
119,169,Directed,125,,,1,Twitter Web App,None,es,2012-06-10
120,19,Directed,126,,,1,Twitter for iPhone,None,es,2013-03-11
120,20,Directed,127,,,1,Twitter for iPhone,None,es,2013-03-11
120,41,Directed,128,,,1,Twitter for iPhone,None,es,2013-03-11
120,295,Directed,129,,,1,Twitter for iPhone,None,es,2013-03-11
121,7,Directed,130,,,1,Twitter for iPhone,None,es,2011-05-01
121,8,Directed,131,,,1,Twitter for iPhone,None,es,2011-05-01
121,10,Directed,132,,,1,Twitter for iPhone,None,es,2011-05-01
121,117,Directed,133,,,1,Twitter for iPhone,None,es,2011-05-01
122,1,Directed,134,,,1,Twitter for Android,None,es,2009-03-27
